Product_ID,Product_Name,Product_Type,Validity_Days,Data_Limit_GB,Voice_Benefit,SMS_Limit,Price_INR,Launch_Date,Telecom_Company,Availability
PRD00001,UltraConnect 437,Postpaid,56.0,279.07,1500 mins,50/day,437.29,2022-01-21,IndiTel Communications,Discontinued
PRD00002,SuperTalk 2074,Business,,,N/A,100/day,2074.09,2022-07-27,IndiTel Communications,Discontinued
PRD00003,ValuePlus 1997,Prepaid,365.0,257.48,Unlimited,500 total,1997.06,2023-10-25,SkyCell Telecom,Active
PRD00004,UltraConnect 1036,Prepaid,365.0,363.82,1500 mins,100/day,1036.89,2020-11-26,BharatNet Mobile,Discontinued
PRD00005,UltraConnect 893,Broadband,,396.3,N/A,N/A,893.59,2023-07-13,NextWave Communications,Discontinued
PRD00006,DataMax 1963,Postpaid,365.0,172.27,500 mins,N/A,1963.38,2022-02-01,SkyCell Telecom,Active
PRD00007,SuperTalk 2107,Broadband,,485.71,N/A,50/day,2107.01,2021-09-15,BharatNet Mobile,Discontinued
PRD00008,HomeFiber 2163,IoT Solutions,,,N/A,500 total,2163.16,2021-09-13,BharatNet Mobile,Discontinued
PRD00009,UltraConnect 856,Postpaid,365.0,498.83,1000 mins,100/day,856.27,2024-09-26,NextWave Communications,Discontinued
PRD00010,SuperTalk 132,IoT Solutions,,,N/A,500 total,132.44,2021-11-12,SkyCell Telecom,Active
PRD00011,HomeFiber 2233,IoT Solutions,,,N/A,100/day,2233.49,2021-08-15,IndiTel Communications,Active
PRD00012,UltraConnect 1934,IoT Solutions,,,N/A,N/A,1934.34,2023-05-12,IndiTel Communications,Discontinued
PRD00013,HomeFiber 2146,Postpaid,365.0,132.07,1000 mins,N/A,2146.37,2022-01-08,SkyCell Telecom,Discontinued
PRD00014,SuperTalk 1376,Prepaid,56.0,90.29,Unlimited,50/day,1376.36,2023-06-15,SkyCell Telecom,Active
PRD00015,ValuePlus 499,Prepaid,365.0,491.57,1000 mins,500 total,499.68,2020-05-31,NextWave Communications,Discontinued
PRD00016,SuperTalk 648,Postpaid,365.0,263.22,1000 mins,N/A,648.24,2023-04-25,NextWave Communications,Discontinued
PRD00017,DataMax 1216,Business,,,N/A,500 total,1216.02,2024-12-29,SkyCell Telecom,Discontinued
PRD00018,UltraConnect 1495,Business,,,N/A,500 total,1495.51,2024-01-05,IndiTel Communications,Active
PRD00019,NetBoost 953,Broadband,,322.42,N/A,50/day,953.03,2022-01-18,IndiTel Communications,Active
PRD00020,HomeFiber 635,Broadband,,117.0,N/A,N/A,635.14,2022-01-23,BharatNet Mobile,Discontinued
PRD00021,NetBoost 1115,IoT Solutions,,,N/A,100/day,1115.48,2020-11-27,SkyCell Telecom,Discontinued
PRD00022,SuperTalk 1848,Business,,,N/A,100/day,1848.98,2024-04-14,SkyCell Telecom,Active
PRD00023,NetBoost 409,Business,,,N/A,500 total,409.06,2024-04-18,NextWave Communications,Discontinued
PRD00024,HomeFiber 1797,Broadband,,296.09,N/A,100/day,1797.98,2021-01-08,SkyCell Telecom,Discontinued
